Subject Descriptor,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,Continent
Total investment,,,,,,,,,,,,,8.824,7.698,27.942,20.809,21.095,23.266,22.686,20.769,18.232,15.844,18.159,24.392,22.919,28.371,33.55,38.161,43.809,33.822,29.419,27.001,22.759,20.732,20.848,20.946,18.016,19.29,22.4,17.448,20.876,20.9,20.95,21.65,22.1,22.5,Asia
Gross national savings,,,,,,,,,,,,,,,,3.836,2.894,3.95,0.694,3.832,2.451,5.404,11.939,18.211,20.715,25.843,31.155,30.804,29.585,17.338,15.797,16.56,12.797,13.422,13.081,18.226,15.954,16.302,13.046,9.268,12.043,13.599,14.277,15.311,15.974,16.535,Asia
"Inflation, average consumer prices",,,,,,,,,,,,,0.018,0.672,36.135,100,118.653,135.318,147.055,148.008,146.837,151.457,154.167,161.171,170.725,171.95,177.853,185.951,202.72,209.903,225.171,242.403,248.56,262.946,270.783,280.885,276.935,279.632,286.411,290.543,293.196,299.133,307.262,316.813,328.074,340.466,Asia
"Inflation, average consumer prices",,,,,,,,,,,,,,3731.8,5273.449,176.743,18.653,14.046,8.673,0.648,-0.791,3.146,1.79,4.543,5.928,0.717,3.433,4.553,9.018,3.544,7.274,7.653,2.54,5.788,2.981,3.731,-1.406,0.974,2.424,1.443,0.913,2.025,2.717,3.109,3.554,3.777,Asia
"Inflation, end of period consumer prices",,,,,,,,,,,,,0.039,4.337,86.061,113.545,120.141,146.423,144.522,147.481,148.049,152.293,156.627,168.28,171.173,171.899,181.106,193.211,203.466,217.133,235.552,246.51,254.464,268.603,280.899,280.536,277.514,284.763,289.873,291.961,296.261,303.567,312.62,323.562,336.504,349.965,Asia
"Inflation, end of period consumer prices",,,,,,,,,,,,,,10896.2,1884.547,31.935,5.809,21.876,-1.298,2.048,0.385,2.867,2.846,7.44,1.719,0.424,5.356,6.684,5.307,6.717,8.482,4.652,3.227,5.556,4.578,-0.129,-1.077,2.612,1.795,0.72,1.473,2.466,2.982,3.5,4,4,Asia
Six-month London interbank offered rate (LIBOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Volume of imports of goods and services,,,,,,,,,,,,,,,,,18.787,12.705,14.33,-8.871,3.813,13.722,11.659,20.013,4.844,17.721,12.064,35.323,16.392,-15.898,4.542,-2.323,5.297,9.94,2.758,-9.537,7.505,22.358,11.764,9.479,-12.291,9.98,8.281,6.281,4.502,4.553,Asia
Volume of Imports of goods,,,,,,,,,,,,,,,,,9.479,9.725,10.705,-11.39,4.849,4.448,14.983,23.24,-2.46,22.107,12.607,36.789,19.441,-20.687,3.073,-2.201,3.372,8.818,0.455,-15.881,6.106,28.088,13.067,11.902,-7.543,7.228,5.236,4.715,3.907,3.886,Asia
Volume of exports of goods and services,,,,,,,,,,,,,,,,,27.931,-7.575,21.075,13.949,13.572,29.985,31.116,21.265,-3.892,17.477,-12.518,11.514,-6.772,-8.825,14.573,10.04,12.43,13.034,9.762,9.5,16.193,12.271,6.509,13.853,-20.339,13.596,9.702,7.528,5.348,5.425,Asia
Volume of exports of goods,,,,,,,,,,,,,,,,,11.582,-17.107,10.796,12.625,22.602,23.655,47.994,20.721,-10.274,20.155,-20.67,6.688,-13.26,-20.528,25.092,6.052,11.892,12.796,8.342,10.789,21.199,15.003,7.743,10.81,-8.029,8.897,5.828,5.272,4.858,4.853,Asia
Unemployment rate,,,,,,,,,,,,,,,,,,,,,,38.4,35.3,31.2,31.6,31.2,27.8,28.7,16.4,18.7,19,18.4,17.3,16.2,17.6,18.5,18,20.9,20.5,18.9,22.273,21.105,21.005,20.905,20.805,20.705,Asia
Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
Population,,,,,,,,,,,,,3.45,3.37,3.29,3.22,3.17,3.14,3.11,3.09,3.08,3.06,3.05,3.04,3.03,3.01,3,2.99,2.98,2.97,2.966,2.968,2.97,2.98,2.985,2.99,2.993,2.979,2.969,2.969,2.97,2.97,2.97,2.97,2.97,2.971,Asia
General government revenue,,,,,,,,,,,,,,1.017,48.921,93.154,101.889,126.688,163.812,190.917,170.113,200.44,228.132,247.215,294.907,401.359,479.444,632.547,730.753,655.569,734.293,834.53,892.603,1011.525,1064.617,1084.076,1085.186,1181.989,1341.689,1565.489,1472.965,1610.555,1810.014,1989.608,2179.582,2379.42,Asia
General government revenue,,,,,,,,,,,,,,26.097,26.152,17.837,15.41,15.751,17.146,19.334,16.494,17.046,16.744,15.217,15.457,17.895,18.05,20.085,20.479,20.867,21.221,22.09,20.921,22.204,22.048,21.494,21.416,21.242,22.298,23.831,23.232,23.969,24.911,25.266,25.408,25.443,Asia
General government total expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,445.685,531.25,706.059,793.43,897.051,906.591,943.14,956.318,1084.091,1158.422,1328.029,1370.592,1448.253,1447.083,1629.437,1842.253,1830.956,1966.667,2131.459,2315.737,2518.216,Asia
General government total expenditure,,,,,,,,,,,,,,,,,,,,,,,,,,19.871,20,22.42,22.236,28.553,26.201,24.964,22.415,23.797,23.991,26.331,27.048,26.027,24.05,24.805,29.056,27.249,27.067,27.067,26.995,26.927,Asia
General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,-44.326,-51.806,-73.512,-62.677,-241.482,-172.298,-108.61,-63.716,-72.566,-93.805,-243.953,-285.406,-266.264,-105.394,-63.948,-369.288,-220.401,-156.653,-141.851,-136.155,-138.796,Asia
General government net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,-1.976,-1.95,-2.334,-1.757,-7.686,-4.979,-2.875,-1.493,-1.593,-1.943,-4.837,-5.632,-4.785,-1.752,-0.973,-5.824,-3.28,-2.156,-1.801,-1.587,-1.484,Asia
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
General government primary net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,-34.017,-42.782,-63.555,-52.282,-225.285,-142.109,-73.379,-23.507,-25.821,-32.161,-169.869,-187.129,-146.504,33.621,93.605,-201.171,-31.627,49.698,69.627,80.254,86.982,Asia
General government primary net lending/borrowing,,,,,,,,,,,,,,,,,,,,,,,,,,-1.517,-1.611,-2.018,-1.465,-7.171,-4.107,-1.942,-0.551,-0.567,-0.666,-3.368,-3.693,-2.633,0.559,1.425,-3.173,-0.471,0.684,0.884,0.936,0.93,Asia
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Asia
General government gross debt,,,,,,,,,,,,,,,,,269.654,374.042,431.731,386.987,408.28,447.452,521.113,536.388,504.573,459.054,429.848,448.757,522.097,1072.496,1168.061,1348.817,1518.881,1655.092,1900.626,2225.906,2631.39,2988.38,3082.681,3280.926,3849.18,4149.215,4400.247,4661.818,4938.857,5242.825,Asia
General government gross debt,,,,,,,,,,,,,,,,,40.782,46.503,45.189,39.191,39.587,38.053,38.248,33.016,26.446,20.467,16.183,14.25,14.632,34.138,33.757,35.702,35.6,36.331,39.362,44.133,51.929,53.704,51.233,49.945,60.71,61.751,60.56,59.199,57.574,56.061,Asia
Current account balance,,,,,,,,,,,,,-0.05,-0.05,0.025,-0.218,-0.291,-0.317,-0.416,-0.313,-0.302,-0.221,-0.148,-0.174,-0.079,-0.124,-0.153,-0.677,-1.659,-1.426,-1.261,-1.059,-1.058,-0.813,-0.902,-0.287,-0.217,-0.344,-1.165,-1.118,-1.132,-0.96,-0.941,-0.957,-0.994,-1.041,Asia
Current account balance,,,,,,,,,,,,,-46.28,-5.993,3.804,-16.972,-18.202,-19.315,-21.993,-16.936,-15.78,-10.44,-6.219,-6.181,-2.204,-2.529,-2.395,-7.357,-14.225,-16.484,-13.622,-10.44,-9.962,-7.31,-7.768,-2.72,-2.061,-2.988,-9.354,-8.18,-8.833,-7.301,-6.673,-6.339,-6.126,-5.965,Asia
GDP,,,,,,,,,,,,,,,,27879,27632.209,28937.949,29086.569,29507.336,32123.949,31423.805,30797.58,31627.42,34307.131,34892.028,35678.841,37104.948,37596.36,33362.099,32542.016,34073.114,32921.417,33779.872,33605.367,32377.56,31803.509,31956.048,32889.188,33508.081,27169.126,30148.523,31946.522,32899.518,33856.081,34831.578,America
Implied PPP conversion rate,,,,,,,,,,,,,,,,1.062,1.077,1.098,1.158,1.166,1.152,1.191,1.225,1.228,1.222,1.225,1.224,1.26,1.295,1.32,1.291,1.303,1.318,1.285,1.309,1.362,1.355,1.351,1.371,1.375,1.338,1.348,1.357,1.363,1.368,1.372,America
Total investment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America
Gross national savings,,,,,,,,,,,,,,,,29.56,26.397,26.537,27.714,26.185,29.193,25.655,22.449,21.46,25.298,24.188,22.899,21.865,22.762,17.803,12.387,12.536,9.456,9.989,13.026,15.466,14.977,15.494,17.431,17,-2.613,3.47,4.335,4.366,4.383,4.259,America
"Inflation, average consumer prices",,,,,,,,,,,,,,,,71.707,74.002,76.219,77.648,79.416,82.632,85.013,87.832,91.043,93.346,96.518,100,105.392,114.832,112.379,114.714,119.733,120.418,117.562,118.058,118.619,117.514,116.305,120.522,125.654,127.19,129.49,132.574,135.558,138.552,141.623,America
"Inflation, average consumer prices",,,,,,,,,,,,,,,,,3.2,2.996,1.875,2.277,4.049,2.882,3.316,3.656,2.529,3.398,3.608,5.392,8.957,-2.136,2.078,4.375,0.572,-2.372,0.422,0.475,-0.932,-1.028,3.626,4.257,1.222,1.809,2.381,2.251,2.209,2.216,America
"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,72.511,74.759,76.852,78.005,80.891,83.722,85.838,89.402,91.446,93.994,97.551,100,109.919,107.876,115.187,114.356,121.356,116.847,116.941,119.515,118.408,117.365,116.822,122.027,128.327,126.93,131.064,134.185,137.206,140.236,143.344,America
"Inflation, end of period consumer prices",,,,,,,,,,,,,,,,,3.1,2.8,1.5,3.7,3.5,2.527,4.151,2.287,2.786,3.784,2.511,9.919,-1.859,6.777,-0.721,6.121,-3.716,0.08,2.201,-0.926,-0.881,-0.463,4.456,5.162,-1.089,3.257,2.381,2.251,2.209,2.216,America
Six-month London interbank offered rate (LIBOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America
Volume of imports of goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America
Volume of Imports of goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America
Volume of exports of goods and services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America
Volume of exports of goods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America
Unemployment rate,,,,,,,,,,,,,,,,,,,3.25,4.793,6.923,6.489,8.131,11.4,9.5,8.8,9.3,5.71,6.9,10.3,10.6,8.879,9.607,7.599,7.451,7.298,7.694,8.923,7.283,7.544,13.084,10.539,10.376,9.723,8.435,7.891,America
Employment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America
Population,,,,,,,,,,,,,,,,0.08,0.083,0.086,0.088,0.09,0.091,0.092,0.092,0.093,0.095,0.098,0.099,0.1,0.101,0.102,0.102,0.103,0.105,0.106,0.108,0.109,0.11,0.111,0.112,0.112,0.113,0.113,0.114,0.114,0.114,0.115,America
General government revenue,,,,,,,,,,,,,,,,0.603,0.62,0.628,0.646,0.706,0.746,0.736,0.755,0.989,0.836,0.909,0.985,1.034,1.365,1.109,1.184,0.981,1.021,1.143,1.118,1.267,1.264,1.216,1.297,1.42,0.966,1.214,1.339,1.391,1.441,1.489,America
General government revenue,,,,,,,,,,,,,,,,25.498,25.114,22.887,21.687,22.884,22.249,21.405,21.721,27.336,20.961,21.789,22.702,22.088,27.778,24.79,27.668,21.491,22.5,24.747,23.57,26.307,26.575,25.366,25.718,27.461,23.571,26.397,27.21,27.21,27.21,27.21,America
General government total expenditure,,,,,,,,,,,,,,,,0.622,0.678,0.685,0.643,0.703,0.725,0.764,0.866,0.92,1.18,1.034,1.098,1.084,1.291,1.229,1.337,1.284,1.44,1.438,1.491,1.346,1.342,1.359,1.409,1.4,1.947,1.516,1.573,1.608,1.608,1.595,America
General government total expenditure,,,,,,,,,,,,,,,,26.332,27.458,24.989,21.574,22.798,21.606,22.229,24.923,25.419,29.593,24.782,25.291,23.159,26.261,27.478,31.247,28.142,31.742,31.144,31.431,27.932,28.209,28.353,27.941,27.071,47.539,32.963,31.955,31.458,30.38,29.141,America
General government net lending/borrowing,,,,,,,,,,,,,,,,-0.02,-0.058,-0.058,0.003,0.003,0.022,-0.028,-0.111,0.069,-0.344,-0.125,-0.112,-0.05,0.075,-0.12,-0.153,-0.304,-0.419,-0.295,-0.373,-0.078,-0.078,-0.143,-0.112,0.02,-0.982,-0.302,-0.234,-0.217,-0.168,-0.106,America
General government net lending/borrowing,,,,,,,,,,,,,,,,-0.834,-2.343,-2.102,0.113,0.086,0.644,-0.825,-3.203,1.916,-8.632,-2.993,-2.589,-1.071,1.517,-2.688,-3.579,-6.651,-9.242,-6.396,-7.861,-1.625,-1.634,-2.987,-2.223,0.39,-23.968,-6.566,-4.745,-4.248,-3.169,-1.931,America
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America
General government structural balance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America
General government primary net lending/borrowing,,,,,,,,,,,,,,,,0.008,-0.027,-0.023,0.043,0.047,0.063,0.019,-0.062,0.115,-0.258,-0.04,-0.015,0.057,0.214,-0.004,-0.026,-0.166,-0.269,-0.131,-0.185,0.122,0.14,0.08,0.095,0.25,-0.752,-0.022,0.062,0.089,0.15,0.212,America
General government primary net lending/borrowing,,,,,,,,,,,,,,,,0.339,-1.1,-0.851,1.446,1.539,1.884,0.547,-1.776,3.178,-6.479,-0.97,-0.345,1.213,4.359,-0.085,-0.614,-3.639,-5.923,-2.834,-3.905,2.532,2.948,1.661,1.891,4.827,-18.367,-0.486,1.255,1.744,2.84,3.881,America
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America
General government net debt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,America
General government gross debt,,,,,,,,,,,,,,,,1.302,1.353,1.4,1.223,1.212,1.295,1.505,1.653,1.495,1.717,1.905,2.012,2.136,2.051,2.23,2.401,2.916,3.068,3.42,3.869,3.918,4.012,4.159,4.208,4.203,5.208,5.532,5.785,6.022,6.209,6.334,America
General government gross debt,,,,,,,,,,,,,,,,55.095,54.771,51.068,41.039,39.288,38.613,43.776,47.582,41.309,43.05,45.654,46.37,45.62,41.743,49.856,56.104,63.887,67.62,74.045,81.586,81.326,84.371,86.741,83.412,81.286,127.142,120.295,117.528,117.821,117.283,115.729,America
Current account balance,,,,,,,,,,,,,,,,,,,,-0.435,0.207,0.309,-0.34,-0.165,0.278,0.104,0.31,0.256,-0.001,0.172,-0.463,-0.267,0.088,-0.333,-0.134,0.115,0.136,0.03,-0.021,0.06,-0.475,-0.441,-0.328,-0.191,-0.184,-0.171,America
Current account balance,,,,,,,,,,,,,,,,,,,,-25.271,11.063,16.091,-17.527,-8.187,12.463,4.467,12.768,9.807,-0.026,6.897,-19.383,-10.492,3.465,-12.894,-5.049,4.276,5.118,1.103,-0.739,2.093,-20.778,-17.175,-11.926,-6.693,-6.229,-5.58,America
GDP,10505.589,11785.084,12316.593,12578.244,13687.826,14682.121,15117.888,15996.15,16962.046,18170.446,18873.845,19084.491,19816.094,20884.179,22156.964,22973.445,24085.666,25373.598,26584.87,27853.143,28997.698,30022.676,31404.402,32510.378,34380.569,36047.436,37559.352,39531.341,40489.69,40824.007,41689.481,43090.334,42905.491,46505.965,47018.217,46406.604,48152.486,49795.546,51571.451,52725.75,50844.733,53188.776,55135.053,56818.749,58601.448,60427.369,Oceania
Implied PPP conversion rate,0.918,0.923,0.975,1.019,1.043,1.064,1.107,1.157,1.219,1.262,1.278,1.253,1.241,1.226,1.215,1.225,1.225,1.218,1.216,1.209,1.235,1.25,1.267,1.284,1.294,1.313,1.339,1.361,1.419,1.414,1.473,1.511,1.54,1.447,1.452,1.474,1.45,1.466,1.463,1.482,1.482,1.455,1.446,1.447,1.448,1.452,Oceania
Total investment,27.186,28.947,26.548,23.102,26.781,27.29,25.6,26.439,28.886,30.213,26.45,22.801,22.758,23.958,25.93,25.254,24.84,24.797,26.348,26.344,25.02,23.551,25.289,26.835,27.304,27.93,27.163,28.27,28.358,26.987,26.37,26.88,28.468,27.116,26.444,25.878,24.636,24.239,24.187,22.746,22.038,21.85,22.184,22.202,22.229,22.253,Oceania
Gross national savings,21.777,20.92,18.801,16.98,20.181,18.375,17.652,20.219,25.134,25.235,22.868,18.194,19.124,20.897,21.606,20.63,21.475,21.801,21.567,20.597,21.279,21.237,21.515,21.473,21.071,21.813,21.237,21.333,24.096,22.156,23.105,23.793,23.916,23.762,23.291,21.607,20.84,22.005,21.814,22.682,23.447,21.761,20.817,20.415,20.257,20.287,Oceania
"Inflation, average consumer prices",26.35,28.85,32.125,35.35,36.75,39.225,42.775,46.425,49.8,53.575,57.45,59.35,59.925,60.975,62.175,65.025,66.75,66.9,67.475,68.425,71.475,74.625,76.9,79,80.85,83,85.95,87.975,91.8,93.425,96.1,99.3,101,103.5,106.075,107.65,109.025,111.2,113.325,115.15,116.008,117.566,119.351,121.566,124.294,127.304,Oceania
"Inflation, average consumer prices",10.136,9.488,11.352,10.039,3.96,6.735,9.05,8.533,7.27,7.58,7.233,3.307,0.969,1.752,1.968,4.584,2.653,0.225,0.859,1.408,4.457,4.407,3.049,2.731,2.342,2.659,3.554,2.356,4.348,1.77,2.863,3.33,1.712,2.475,2.488,1.485,1.277,1.995,1.911,1.61,0.745,1.343,1.518,1.856,2.244,2.422,Oceania
"Inflation, end of period consumer prices",,,,,,,,,51.2,55.2,59,59.9,60.1,61.2,62.9,66,67.1,66.9,67.9,69.1,73.1,75.4,77.7,79.6,81.7,83.9,86.7,89.3,92.6,94.5,97,99.9,102,104.8,106.5,108.3,109.8,112.1,114,116.1,116.754,118.102,120.147,122.507,125.411,128.448,Oceania
"Inflation, end of period consumer prices",,,,,,,,,,7.813,6.884,1.525,0.334,1.83,2.778,4.928,1.667,-0.298,1.495,1.767,5.789,3.146,3.05,2.445,2.638,2.693,3.337,2.999,3.695,2.052,2.646,2.99,2.102,2.745,1.622,1.69,1.385,2.095,1.695,1.842,0.563,1.155,1.731,1.964,2.371,2.422,Oceania
Six-month London interbank offered rate (LIBOR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oceania
Volume of imports of goods and services,4.997,10.042,5.46,-9.819,22.058,3.79,-3.149,2.516,21,21.164,-4.21,-2.244,6.705,5.139,14.591,8.745,7.456,10.837,7.295,8.364,8,-5.039,11.03,11.354,15.206,9.45,8.567,13.08,10.609,-8.11,15.506,11.011,5.548,-2.008,-1.368,1.963,0.097,7.823,3.997,-0.932,-13.929,6.287,12.556,5.132,2.603,2.309,Oceania
Volume of Imports of goods,6.011,9.88,4.947,-12.212,22.765,5.805,-2.008,1.316,30.8,20.74,-4.749,-1.349,8.385,5.693,15.427,9.841,7.746,12.742,8.191,10.349,8.855,-4.621,14.112,12.014,14.35,9.988,9.423,11.701,10.275,-9.625,15.433,10.481,5.49,-3.382,0.052,3.07,0.225,7.825,3.78,-1.194,-3.44,6.465,3.236,2.65,2.422,2.422,Oceania
Volume of exports of goods and services,-0.915,-3.403,8.771,-4.36,16.092,10.397,3.625,12.119,7.3,3.293,7.512,12.994,6.3,8.41,7.939,5.579,10.286,11.96,0.219,4.725,11.59,3.024,0.783,-1.114,3.702,3.38,3.407,3.406,4.399,1.987,5.717,-0.144,5.415,5.823,6.938,6.522,6.882,3.449,5.046,3.461,-9.719,3.299,8.719,4.186,2.883,2.839,Oceania
Volume of exports of goods,16.399,2.533,2.816,8.826,1.653,14.528,6.532,11.568,3.9,3.659,7.09,15.138,5.571,6.317,7.693,3.552,11.372,14.226,-0.66,4.522,9.832,3.589,0.745,-1.52,4.032,3.052,2.024,1.87,3.793,3.461,7.596,0.544,6.961,6.281,6.984,5.664,7.106,2.079,4.516,1.922,-3.895,2.385,3.978,3.192,2.419,2.442,Oceania
Unemployment rate,6.133,5.783,7.183,9.967,8.967,8.258,8.117,8.108,7.208,6.133,6.942,9.608,10.742,10.883,9.717,8.483,8.525,8.367,7.692,6.867,6.292,6.775,6.358,5.942,5.392,5.042,4.792,4.375,4.25,5.575,5.208,5.083,5.225,5.658,6.058,6.05,5.7,5.583,5.292,5.158,6.908,7.678,6.655,5.981,5.602,5.423,Oceania
Employment,6.287,6.416,6.418,6.301,6.494,6.701,6.974,7.128,7.391,7.718,7.856,7.666,7.63,7.655,7.897,8.186,8.299,8.363,8.516,8.67,8.899,9.016,9.185,9.392,9.556,9.877,10.123,10.434,10.728,10.804,11.021,11.213,11.35,11.457,11.531,11.759,11.966,12.246,12.579,12.859,12.571,12.624,,,,,Oceania
Population,14.802,15.039,15.289,15.483,15.677,15.901,16.139,16.395,16.687,16.937,17.17,17.379,17.557,17.719,17.893,18.12,18.33,18.51,18.706,18.919,19.141,19.386,19.605,19.827,20.046,20.312,20.628,21.016,21.476,21.866,22.172,22.522,22.928,23.298,23.64,23.985,24.39,24.773,25.172,25.522,25.724,25.875,26.119,26.469,26.836,27.209,Oceania
General government revenue,,,,,,,,,107.705,118.812,125.491,126.061,126.775,133.699,144.647,158.93,174.048,185.241,208.486,235.466,250.661,259.965,274.664,298.528,323.386,349.845,377.594,405.376,419.753,419.791,434.374,466.635,500.983,528.098,547.533,566.858,593.624,633.324,676.989,689.277,667.582,672.879,717.897,766.303,811.291,833.535,Oceania
General government revenue,,,,,,,,,31.21,30.592,30.312,30.333,29.362,29.464,30.018,31.165,32.172,32.39,34.477,36.966,36.571,35.72,35.197,36.066,36.27,36.404,36.409,35.862,34.012,33.254,31.906,31.821,33.067,33.681,33.914,34.549,34.863,35.024,35.641,34.557,34.431,33.602,34.486,35.217,35.615,34.907,Oceania
General government total expenditure,,,,,,,,,106.055,115.213,126.452,137.672,147.296,155.185,162.964,172.241,181.945,188.066,209.976,231.216,242.066,260.186,273.158,289.805,311.553,333.388,359.172,388.671,433.35,477.502,504.175,533.086,554.171,572.2,594.653,612.582,634.816,664.362,700.439,766.937,862.708,882.253,847.39,850.359,869.784,880.783,Oceania
General government total expenditure,,,,,,,,,30.732,29.665,30.544,33.127,34.114,34.199,33.82,33.776,33.632,32.884,34.723,36.299,35.317,35.751,35.004,35.012,34.943,34.691,34.633,34.384,35.113,37.825,37.033,36.352,36.577,36.494,36.832,37.336,37.282,36.741,36.876,38.451,44.494,44.058,40.706,39.08,38.183,36.886,Oceania
General government net lending/borrowing,,,,,,,,,1.65,3.599,-0.961,-11.611,-20.521,-21.487,-18.318,-13.311,-7.897,-2.825,-1.489,4.25,8.596,-0.221,1.507,8.724,11.833,16.457,18.422,16.705,-13.598,-57.711,-69.802,-66.451,-53.188,-44.102,-47.121,-45.724,-41.192,-31.039,-23.45,-77.66,-195.126,-209.374,-129.493,-84.056,-58.493,-47.247,Oceania
General government net lending/borrowing,,,,,,,,,0.478,0.927,-0.232,-2.794,-4.753,-4.735,-3.801,-2.61,-1.46,-0.494,-0.246,0.667,1.254,-0.03,0.193,1.054,1.327,1.712,1.776,1.478,-1.102,-4.572,-5.127,-4.531,-3.511,-2.813,-2.919,-2.787,-2.419,-1.716,-1.235,-3.894,-10.064,-10.456,-6.22,-3.863,-2.568,-1.979,Oceania
General government structural balance,,,,,,,,,,,-1.145,-8.532,-16.531,-18.328,-15.45,-10.277,-4.433,0.7,1.108,5.961,9.005,0.964,2.335,8.528,10.744,15.405,16.987,13.043,-16.392,-57.042,-67.836,-64.537,-51.762,-42.139,-44.204,-42.454,-38.15,-28.619,-21.501,-72.267,-184.355,-199.311,-123.557,-80.475,-56.155,-45.36,Oceania
General government structural balance,,,,,,,,,,,-0.28,-1.997,-3.712,-3.947,-3.175,-1.99,-0.813,0.122,0.185,0.942,1.328,0.133,0.301,1.027,1.25,1.668,1.7,1.208,-1.397,-4.575,-5.137,-4.523,-3.453,-2.721,-2.754,-2.581,-2.259,-1.617,-1.153,-3.694,-9.163,-9.798,-5.939,-3.741,-2.506,-1.936,Oceania
General government primary net lending/borrowing,,,,,,,,,,,7.762,-4.073,-13.473,-13.173,-8.613,-2.548,3.082,6.994,6.925,10.509,13.242,5.02,6.659,11.148,11.737,15.076,15.255,14.534,-13.983,-57.227,-66.601,-59.965,-43.445,-32.543,-33.577,-30.699,-25.871,-15.368,-7.423,-62.026,-178.344,-190.613,-109.989,-64.076,-38.136,-26.727,Oceania
General government primary net lending/borrowing,,,,,,,,,,,1.875,-0.98,-3.12,-2.903,-1.787,-0.5,0.57,1.223,1.145,1.65,1.932,0.69,0.853,1.347,1.316,1.569,1.471,1.286,-1.133,-4.533,-4.892,-4.089,-2.867,-2.076,-2.08,-1.871,-1.519,-0.85,-0.391,-3.11,-9.198,-9.519,-5.284,-2.945,-1.674,-1.119,Oceania
General government net debt,,,,,,,,,,38.611,39.685,52.453,78.787,100.244,112.206,118.013,115.645,104.179,88.661,70.394,48.955,34.211,21.576,6.249,-10.971,-36.656,-65.566,-82.23,-65.384,15.482,85.995,155.174,209.019,251.451,307.594,362.193,396.94,420.721,456.938,551.102,764.759,984.515,1111.053,1176.63,1203.817,1210.946,Oceania
General government net debt,,,,,,,,,,9.942,9.586,12.621,18.247,22.091,23.286,23.142,21.377,18.216,14.662,11.051,7.142,4.701,2.765,0.755,-1.23,-3.814,-6.322,-7.275,-5.298,1.226,6.317,10.582,13.796,16.037,19.052,22.075,23.312,23.267,24.056,27.63,39.443,49.165,53.372,54.074,52.847,50.713,Oceania
General government gross debt,,,,,,,,,,66.235,68.077,89.98,119.507,139.397,153.146,159.276,159.168,148.468,143.643,143.917,134.017,124.955,117.437,109.471,106.49,104.695,103.348,109.51,145.053,210.236,277.663,352.965,417.19,478.169,549.361,618.535,689.495,742.753,791.392,923.036,1171.309,1405.686,1548.637,1631.358,1676.623,1693.021,Oceania
General government gross debt,,,,,,,,,,17.054,16.444,21.651,27.678,30.72,31.782,31.233,29.422,25.96,23.754,22.594,19.553,17.169,15.049,13.226,11.944,10.894,9.965,9.688,11.753,16.654,20.395,24.069,27.536,30.497,34.027,37.699,40.493,41.076,41.664,46.277,60.411,70.198,74.392,74.972,73.603,70.902,Oceania
Current account balance,-3.856,-7.643,-7.681,-5.648,-8.175,-8.478,-9.163,-7.223,-10.407,-18.534,-15.739,-10.668,-10.388,-9.384,-16.001,-18.927,-14.715,-12.441,-18.704,-22.543,-16.369,-8.486,-16.187,-28.891,-41.51,-43.662,-45.858,-63.678,-50.009,-46.572,-45.727,-46.579,-67.42,-51.368,-44.76,-57.031,-41.394,-35.626,-29.644,8.267,24.618,-1.314,-20.964,-28.754,-33.181,-34.51,Oceania
